user_id,age,zip_code,sessions,avg_session_time,clicks_on_ads,converted,median_income,education_index,age_group,income_bin,lat,lon,engagement_score,gender_Female,gender_Male,gender_Other,device_Desktop,device_Mobile,device_Tablet,urban_Rural,urban_Suburban,urban_Urban,cluster
29,31,90178,5,11.25,0,1,74344,0.48,25-35,Mid-High,38.2600739637824,-114.96032504700149,0.4133229450720685,1,0,0,0,1,0,0,1,0,0
30,19,95113,5,11.0,3,0,60108,0.63,18-25,Mid-Low,37.540941848724366,-118.98677850536974,0.49366965329178014,0,1,0,1,0,0,0,0,1,0
31,57,95196,5,14.0,3,0,38768,0.74,55-65,Low,36.92956120923145,-118.15537677169796,0.5813206077132839,1,0,0,0,1,0,0,0,1,1
32,20,90324,7,9.83,8,0,79220,0.74,18-25,High,38.99912933364387,-123.08781967185,0.6834826645890144,1,0,0,1,0,0,0,1,0,2
33,52,94838,5,10.76,3,1,62508,0.8,45-55,Mid-Low,40.798690787709674,-123.94674987032944,0.48665757693805994,0,1,0,0,1,0,0,0,1,3
34,50,93774,3,6.56,4,0,96689,0.68,45-55,High,40.536249591962104,-118.2004203737449,0.3152512660693417,1,0,0,0,1,0,1,0,0,3
35,41,95121,8,12.81,2,1,65419,0.59,35-45,Mid-High,41.78640006479927,-120.36891026766676,0.6342033502142579,0,1,0,0,1,0,0,0,1,2
36,36,91673,5,10.37,1,0,106764,0.93,35-45,High,33.00363029285106,-116.29165248649393,0.41682898324892864,0,1,0,0,1,0,0,1,0,3
37,35,94883,4,11.26,5,0,60984,0.75,25-35,Mid-Low,38.25492699234997,-122.70120617636188,0.5207440592130891,1,0,0,0,1,0,0,0,1,2
38,41,94883,11,12.12,1,0,60984,0.75,35-45,Mid-Low,38.96648756242021,-119.81396408929119,0.7016945851188157,0,1,0,0,1,0,0,0,1,2
39,62,91618,2,11.38,2,0,92429,0.65,55-65,High,34.06804221570258,-114.80109833394943,0.3586871834826646,0,1,0,0,1,0,0,1,0,3
40,52,92717,2,8.54,2,0,70912,0.81,45-55,Mid-High,36.10924766287686,-122.44523134586461,0.27571094663030776,0,1,0,0,0,1,0,0,1,3
41,18,94833,7,13.55,3,0,64760,0.44,,Mid-Low,39.972307047980784,-114.55777384757386,0.6460849240358395,0,1,0,0,1,0,0,0,1,2
42,53,92707,2,11.28,2,0,114292,0.8,45-55,High,41.16346263965855,-120.50444816435984,0.35576548500194777,1,0,0,0,1,0,0,0,1,3
43,42,91719,5,9.76,3,0,110928,0.81,35-45,High,38.22934889753099,-117.15502258808398,0.457440592130892,0,1,0,0,1,0,0,0,1,3
44,62,93393,4,12.11,4,0,69714,0.32,55-65,Mid-High,38.57519595366868,-116.80281863956054,0.5163615114920139,1,0,0,0,1,0,0,0,1,1
45,60,90158,4,11.5,1,0,53510,0.79,55-65,Low,35.87823935327577,-122.46914137307579,0.41088819633813783,1,0,0,0,0,1,1,0,0,1
46,51,93159,5,8.76,1,1,85704,0.74,45-55,High,41.96113422872597,-119.07276777110461,0.3697896377093884,0,1,0,0,1,0,0,0,1,3
47,42,95485,4,13.21,2,0,28758,0.62,35-45,Low,40.731055256495026,-119.9939555450546,0.49006622516556286,0,1,0,0,1,0,0,0,1,1
48,33,91213,5,13.2,3,0,49031,0.8,25-35,Low,37.89837952480802,-121.10844285513332,0.5579470198675496,1,0,0,1,0,0,1,0,0,2
49,51,90394,2,2.99,4,0,52669,0.62,45-55,Low,39.44044980431733,-122.44366014808425,0.17199065056486174,0,1,0,0,1,0,0,0,1,0
50,46,90015,3,6.58,2,0,61809,0.95,45-55,Mid-Low,33.48158460536863,-117.9093431896963,0.25740163615114925,0,1,0,0,1,0,0,0,1,3
51,36,94782,4,5.79,6,0,88484,0.5,35-45,High,38.51515337063368,-122.31266998536498,0.3901441371250487,0,1,0,1,0,0,0,1,0,0
52,40,91003,3,5.48,2,0,87647,0.48,35-45,High,39.84408646589051,-114.04860143152713,0.22526295286326456,1,0,0,1,0,0,0,1,0,0
53,36,92408,5,13.34,2,0,73674,0.6,35-45,Mid-High,41.61736295194611,-119.85624031376824,0.5328204129333852,1,0,0,0,1,0,0,0,1,2
54,42,93832,7,7.41,1,0,45112,0.65,35-45,Low,35.118132127159306,-123.98381529349338,0.4082586677054928,0,1,0,0,1,0,0,0,1,1
55,33,94440,3,12.87,4,0,65463,0.46,25-35,Mid-High,32.36023697846301,-122.1794390634339,0.4996104402025711,0,1,0,1,0,0,0,0,1,0
56,26,93809,7,11.3,3,0,75873,1.0,25-35,High,32.22400866301276,-122.23576982913487,0.5803467082197117,1,0,0,0,1,0,0,1,0,2
57,18,92260,5,10.82,3,0,52755,0.41,,Low,34.73935947011242,-123.96676838091842,0.48841059602649006,1,0,0,1,0,0,0,0,1,0
58,59,91177,3,8.34,4,0,68812,0.48,55-65,Mid-High,33.61208159276526,-116.10890129577288,0.3672574990261005,1,0,0,0,0,1,0,0,1,1
59,36,94406,5,7.58,3,0,65408,0.42,35-45,Mid-Low,40.91593191605075,-121.23730452752056,0.393747565251266,1,0,0,0,1,0,0,1,0,0
60,50,94990,4,7.62,3,0,65328,0.96,45-55,Mid-Low,35.61337991579071,-120.5809989941265,0.3559602649006622,0,1,0,0,1,0,0,0,1,3
61,51,90080,3,11.81,3,0,72420,0.4,45-55,Mid-High,35.5876790353962,-120.46327710822248,0.4394234514998052,1,0,0,0,1,0,0,1,0,1
62,33,90882,4,10.94,3,0,63025,0.49,25-35,Mid-Low,36.257314827962034,-118.22508147344068,0.45296065446045963,0,1,0,0,1,0,1,0,0,0
63,61,93168,3,1.27,3,0,50074,0.7,55-65,Low,41.84003513918168,-120.06018990494847,0.13147643163225556,0,1,0,0,1,0,0,1,0,1
64,57,94128,8,14.06,3,0,65763,0.5,55-65,Mid-High,37.28139305765425,-120.8282627698901,0.6999415660303856,1,0,0,0,0,1,0,0,1,1
65,35,90605,4,9.22,4,0,45532,0.54,25-35,Low,37.55089018794113,-118.82389348030868,0.4319244253992988,0,1,0,0,1,0,0,1,0,0
66,51,95445,2,10.36,2,0,45429,0.41,45-55,Low,36.377117675367025,-123.97852348767908,0.32888585897935324,0,0,1,0,1,0,0,1,0,1
67,42,90169,4,12.31,4,0,81565,0.25,35-45,High,33.10896947530043,-116.38597426775765,0.5222049084534476,0,1,0,1,0,0,1,0,0,1
68,62,95496,6,6.47,1,0,59928,0.57,55-65,Mid-Low,40.08143137186914,-116.0489299869534,0.3418387222438644,1,0,0,0,1,0,0,0,1,1
69,23,90539,1,5.53,3,0,63265,0.96,18-25,Mid-Low,39.56125004741403,-117.74125868559763,0.17802882742500975,1,0,0,0,1,0,0,1,0,0
70,38,91892,5,7.38,3,0,88739,0.71,35-45,High,39.07936101425412,-114.40289374458143,0.38790416828983254,0,1,0,0,1,0,0,0,1,3
71,23,96140,7,13.58,4,0,103685,0.45,18-25,High,35.91115861448689,-120.02730263416352,0.6761784183872224,1,0,0,0,1,0,0,1,0,2
72,49,90605,3,10.04,5,0,45532,0.54,45-55,Low,37.040345043686216,-114.88590550452075,0.44614335800545374,0,1,0,1,0,0,0,1,0,1
73,58,91177,2,13.29,2,0,68812,0.48,55-65,Mid-High,33.04786280121302,-121.23731949023984,0.4144916244643553,1,0,0,0,1,0,0,0,1,1
74,60,90866,5,2.6,1,1,51115,0.7,55-65,Low,35.87691264253825,-119.25164813955394,0.18981301129723413,0,1,0,0,1,0,0,0,1,1
75,56,91984,5,9.42,3,0,74540,0.56,55-65,Mid-High,41.23967600459616,-121.56875475208207,0.44750681729645503,1,0,0,0,1,0,0,1,0,1
76,48,91534,9,6.41,4,1,56353,0.44,45-55,Mid-Low,40.94595029360055,-116.36580447423938,0.5446045968056097,0,1,0,1,0,0,0,0,1,1
77,59,94756,2,13.1,1,0,49729,0.59,55-65,Low,36.51760434361543,-117.58285575584647,0.3797234125438254,0,1,0,1,0,0,0,1,0,1
78,27,93160,6,8.69,3,0,50487,0.55,25-35,Low,36.15182269446909,-114.23431804687678,0.4651343981301129,0,1,0,0,1,0,0,1,0,0
79,47,94996,5,6.78,1,0,89668,0.78,45-55,High,39.16064010101648,-117.1970657255282,0.3119400077911959,0,1,0,1,0,0,0,0,1,3
80,35,93802,3,8.98,2,0,56125,0.75,25-35,Mid-Low,39.6069721312692,-122.03243156249168,0.3275223996883521,1,0,0,0,1,0,0,1,0,0
81,41,90623,4,4.85,2,0,71626,0.61,35-45,Mid-High,40.64260164131471,-115.31205648465024,0.24581223217763926,1,0,0,0,1,0,0,0,1,0
82,26,90578,5,10.08,5,0,39006,0.85,25-35,Low,32.76115772975591,-123.10367764094276,0.5252239968835216,1,0,0,1,0,0,0,1,0,2
83,48,94437,5,6.46,3,0,74302,0.44,45-55,Mid-High,41.95391380221695,-115.19965001708294,0.36102454226723796,0,1,0,0,1,0,1,0,0,1
84,32,92708,7,6.59,4,0,39822,0.3,25-35,Low,34.13598046438728,-117.25877759501702,0.4719516945851188,1,0,0,0,1,0,0,0,1,0
85,21,92088,2,9.92,3,0,65787,0.44,18-25,Mid-High,41.0370793556921,-118.20604012192376,0.3452473704713674,0,1,0,0,1,0,0,0,1,0
86,57,92560,6,3.49,2,0,67497,0.75,55-65,Mid-High,40.10127083947714,-122.69911959712468,0.283989092325672,1,0,0,0,1,0,0,0,1,3
87,26,94225,7,8.87,1,1,66980,0.74,25-35,Mid-High,34.3146436904963,-116.28703663632861,0.45091546552395795,0,0,1,0,1,0,0,0,1,0
88,62,90158,8,8.27,0,0,53510,0.79,55-65,Low,32.00510899032164,-116.0609527522797,0.44312426957537987,0,1,0,0,1,0,1,0,0,1
89,26,91187,2,13.96,1,1,46068,0.82,25-35,Low,32.88048416840878,-123.37704347228514,0.4048500194779898,0,1,0,0,1,0,0,0,1,0
90,43,91616,9,12.05,2,1,51340,0.54,35-45,Low,39.96929574429058,-119.61375572712255,0.6509544215037008,0,1,0,0,1,0,0,0,1,1
91,21,96159,1,7.56,1,0,70442,0.78,18-25,Mid-High,39.52938358001089,-120.22907512632592,0.17890533696922473,1,0,0,0,1,0,0,0,1,0
92,34,92139,9,7.37,4,0,61276,0.61,25-35,Mid-Low,41.87529644010962,-116.19050611673399,0.5726529022204909,1,0,0,0,1,0,0,0,1,2
93,33,90507,3,11.16,1,0,77390,0.72,25-35,High,34.296503470107204,-115.40817056674135,0.36199844176081025,1,0,0,1,0,0,0,1,0,3
94,32,91500,3,9.95,1,1,58927,0.61,25-35,Mid-Low,34.56875922064878,-119.76961629942504,0.32664589014413714,0,1,0,0,1,0,0,1,0,0
95,52,95974,5,13.99,2,0,69546,0.53,45-55,Mid-High,32.55548776997111,-123.70244249849173,0.5518114530580444,1,0,0,0,0,1,0,0,1,1
96,22,92192,6,10.64,2,0,64001,0.78,18-25,Mid-Low,34.7384747766144,-120.19060224318652,0.49289053369692243,1,0,0,1,0,0,1,0,0,2
97,22,91695,8,10.66,3,0,56583,0.65,18-25,Mid-Low,40.22076979435091,-120.43175257411752,0.6006038176860148,0,1,0,0,1,0,0,1,0,2
98,37,94252,6,12.03,2,0,71915,0.71,35-45,Mid-High,41.74188026894843,-117.9843697776694,0.5335021425788858,1,0,0,0,1,0,0,0,1,2
99,32,92433,5,14.76,1,0,49253,0.68,25-35,Low,34.42273211878927,-115.10449347259426,0.5450915465523957,0,1,0,0,1,0,1,0,0,2
100,35,94128,6,10.35,2,0,65763,0.5,25-35,Mid-High,38.05307255832341,-115.31915039802466,0.4844176081028438,0,1,0,0,1,0,0,0,1,0
101,64,94385,4,12.34,5,0,65099,0.63,55-65,Mid-Low,32.531301214490455,-116.03301962279173,0.5522984028048304,1,0,0,0,1,0,0,1,0,1
102,19,91407,3,9.87,2,0,84361,0.69,18-25,High,36.614397816811575,-116.33588085157508,0.3535255161667315,0,1,0,0,1,0,0,0,1,0
103,46,91894,5,7.76,1,0,75039,0.59,45-55,Mid-High,35.99846461277484,-114.28820060539974,0.34057265290222044,1,0,0,0,1,0,0,0,1,3
104,30,95163,6,12.02,3,0,85514,0.85,25-35,High,34.92489843897777,-123.59635501743873,0.5624269575379821,1,0,0,1,0,0,0,0,1,2
105,21,90168,6,8.08,3,0,70253,0.6,18-25,Mid-High,41.95754342043415,-117.71952389969704,0.4473120373977405,0,1,0,1,0,0,0,0,1,0
106,59,95845,7,6.43,5,0,68392,0.57,55-65,Mid-High,33.78584689602481,-114.446690517079,0.4964939618231399,1,0,0,0,1,0,1,0,0,1
107,62,91700,4,8.74,2,0,82783,0.73,55-65,High,38.361902543288025,-117.60945908938737,0.3594663030775223,1,0,0,0,1,0,0,0,1,3
108,27,90433,5,11.73,2,0,64155,0.63,25-35,Mid-Low,39.65694633863716,-120.69046601079357,0.48578106739384486,0,1,0,0,1,0,0,0,1,0
109,48,96159,8,9.79,0,1,70442,0.78,45-55,Mid-High,38.33605863089032,-121.81625603554022,0.48753408648227503,0,1,0,0,1,0,0,0,1,3
110,58,94214,2,13.93,3,0,47526,0.53,55-65,Low,33.84301977857156,-121.53953973963883,0.4624074795481105,0,1,0,1,0,0,0,1,0,1
111,25,93160,10,12.81,2,0,50487,0.55,18-25,Low,36.68345649022009,-116.83524191029514,0.7121153097000389,0,1,0,1,0,0,0,1,0,2
112,20,95919,6,17.1,3,0,80029,0.56,18-25,High,40.26154674972153,-117.09101852446528,0.7108492403583949,0,1,0,0,1,0,0,0,1,2
113,63,94214,5,9.65,2,0,47526,0.53,55-65,Low,36.65597467140769,-114.7777556597055,0.4250097389949356,0,1,0,0,1,0,0,1,0,1
114,26,93949,5,11.87,4,0,84431,0.95,25-35,High,39.9155630642698,-116.75836722139039,0.5483054148811843,0,1,0,0,1,0,0,1,0,2
115,47,91865,5,14.6,3,0,75945,0.54,45-55,High,33.06429129620454,-117.96558928248015,0.5988507985975846,1,0,0,1,0,0,0,0,1,2
116,28,91245,1,5.54,7,1,57156,0.52,25-35,Mid-Low,41.95113293031058,-123.31947489409133,0.295188936501753,0,1,0,0,1,0,0,0,1,0
117,52,92096,3,14.31,3,0,52701,0.75,45-55,Low,40.567207192794555,-120.73007252585852,0.512465913517725,1,0,0,0,1,0,0,1,0,1
118,54,95667,8,5.26,5,0,46406,0.68,45-55,Low,38.253810383055544,-118.33690192405705,0.501266069341644,1,0,0,1,0,0,0,1,0,1
119,59,90748,3,14.36,4,0,55363,0.58,55-65,Mid-Low,37.061408039760096,-123.88052605769907,0.5431437475652512,1,0,0,1,0,0,1,0,0,1
120,30,91658,5,11.15,3,0,48396,0.67,25-35,Low,33.03520036940504,-114.04613140328674,0.4980522010128555,0,1,0,1,0,0,0,1,0,0
121,53,94754,4,9.6,3,0,49293,0.72,45-55,Low,40.07917500285165,-115.20901490844295,0.4138098948188547,1,0,0,0,1,0,1,0,0,1
122,30,94975,2,6.87,2,1,69718,0.74,25-35,Mid-High,35.556913897039344,-114.10706832316355,0.22691858200233736,1,0,0,0,1,0,0,0,1,0
123,29,93786,10,6.1,1,0,84851,0.38,25-35,High,34.995179671143234,-122.66294908011905,0.48685235683677447,1,0,0,0,1,0,0,1,0,0
124,54,95160,3,9.02,4,0,53515,0.4,45-55,Low,34.791022990308875,-123.48812555709597,0.38712504869497466,0,1,0,1,0,0,1,0,0,1
125,27,93353,7,8.58,2,0,101548,0.84,25-35,High,39.121655286301916,-117.6538493720883,0.4716595247370471,0,1,0,1,0,0,0,0,1,3
126,26,91695,10,7.84,0,0,56583,0.65,25-35,Mid-Low,37.9509707274855,-121.26281871179468,0.5084729255940786,1,0,0,1,0,0,0,1,0,2
127,24,92858,3,8.67,2,0,72357,0.68,18-25,Mid-High,39.076740510265665,-117.17651998792499,0.31846513439813007,0,1,0,0,1,0,0,1,0,0
128,19,95747,2,12.42,2,0,61278,0.69,18-25,Mid-Low,40.32616291316417,-118.78178767650124,0.38907284768211914,0,1,0,1,0,0,0,1,0,0
129,40,95450,3,14.89,4,0,93300,0.6,35-45,High,41.863052326769015,-119.81396385300829,0.5586287495130503,0,1,0,0,1,0,0,0,1,2
130,56,94199,5,8.81,2,0,67355,0.75,55-65,Mid-High,32.49253078482441,-121.3829718201315,0.40046747175691466,1,0,0,0,1,0,0,0,1,3
131,57,90102,9,10.23,3,0,35776,0.64,55-65,Low,41.797006740619736,-120.81835641570216,0.6269964939618231,0,0,1,0,1,0,0,0,1,1
132,56,92329,3,6.79,3,0,61180,0.6,55-65,Mid-Low,40.252547977717,-119.23323925683569,0.2927541877678224,0,1,0,0,1,0,0,0,1,1
133,38,95297,5,9.01,1,0,58373,0.69,35-45,Mid-Low,37.473627278899,-121.61511229308883,0.37709388391118026,1,0,0,0,1,0,0,1,0,0
134,40,94838,4,8.02,3,0,62508,0.8,35-45,Mid-Low,33.7631609618854,-115.39321661886096,0.36764705882352944,1,0,0,1,0,0,0,0,1,3
135,46,91050,5,12.36,2,0,68493,0.52,45-55,Mid-High,39.39808841738464,-120.7046470165678,0.5041877678223606,1,0,0,1,0,0,0,0,1,1
136,31,93949,7,7.3,2,0,84431,0.95,25-35,High,40.19629640408429,-114.97865039489466,0.4342617841838722,1,0,0,0,1,0,0,1,0,3
137,43,93685,7,11.29,2,0,79875,0.63,35-45,High,40.57851906487916,-123.43774864790392,0.550837553564472,1,0,0,0,1,0,0,1,0,2
138,22,95662,4,7.22,1,0,66889,0.54,18-25,Mid-High,41.593542576666806,-122.99272954384811,0.28583950136345926,1,0,0,0,1,0,0,0,1,0
139,48,94895,8,15.4,3,0,60682,0.82,45-55,Mid-Low,33.34187177133279,-122.50211237362467,0.7390923256719907,0,1,0,0,1,0,0,1,0,2
140,42,90961,7,12.32,3,0,54118,0.41,35-45,Low,39.92632331276712,-119.64655688056553,0.610148032723023,1,0,0,0,1,0,0,0,1,1
141,48,92264,6,10.29,5,0,36919,0.68,45-55,Low,38.87671361093891,-121.35173130805724,0.5703155434359174,0,1,0,1,0,0,0,0,1,1
142,37,91421,9,13.16,0,0,65375,0.56,35-45,Mid-Low,37.243006015278326,-121.34778597643242,0.6249513050253214,0,1,0,0,1,0,0,0,1,2
143,61,94575,7,12.59,4,0,75569,0.89,55-65,Mid-High,34.25767268995725,-122.7512726429849,0.6472536034281262,1,0,0,1,0,0,0,1,0,3
144,34,93528,3,11.88,2,0,52898,0.65,25-35,Low,35.989865489673164,-119.35818346353588,0.4122516556291391,1,0,0,1,0,0,0,0,1,0
145,62,93526,2,6.77,6,1,66100,0.67,55-65,Mid-High,33.6572477426942,-118.16379880355626,0.3408648227502921,1,0,0,0,1,0,0,0,1,1
146,19,94021,5,13.49,1,0,45055,0.54,18-25,Low,33.54460593910646,-115.43250416600581,0.5079859758472924,0,1,0,0,1,0,0,0,1,0
147,42,91048,11,13.39,3,0,66216,0.8,35-45,Mid-High,34.40042015329478,-121.51214486848495,0.7972341254382549,0,1,0,1,0,0,0,1,0,2
148,30,94964,1,8.65,1,0,58827,0.64,25-35,Mid-Low,41.99328616742734,-115.23327292383735,0.2107518504090378,1,0,0,0,1,0,0,1,0,0
149,56,93164,5,11.89,2,0,54193,0.81,55-65,Low,36.64187400630735,-120.45917918571112,0.49045578496299175,0,1,0,1,0,0,0,1,0,1
150,45,93774,7,3.82,2,0,96689,0.68,35-45,High,36.88800608016959,-123.46155539143616,0.33258667705492795,1,0,0,1,0,0,1,0,0,3
151,59,94903,8,4.68,4,0,75822,0.4,55-65,High,35.449040096579886,-114.98795717132022,0.45510323334631864,0,1,0,0,1,0,1,0,0,1
152,23,90469,3,9.88,5,0,73458,0.57,18-25,Mid-High,32.64818123571091,-121.75523702414756,0.4414686404363069,0,1,0,0,0,1,0,0,1,0
153,20,91790,9,12.99,3,0,70740,0.79,18-25,Mid-High,32.40949299536482,-120.08698326214659,0.7076353720296065,0,0,1,0,1,0,1,0,0,2
154,52,91621,7,11.24,1,0,59465,0.69,45-55,Mid-Low,36.89682816547897,-121.59964358292497,0.520159719516946,0,1,0,1,0,0,0,0,1,1
155,35,90085,3,9.95,5,0,56319,0.92,25-35,Mid-Low,41.39773064127296,-117.68407880667402,0.4435138293728087,0,1,0,0,1,0,0,1,0,3
156,28,91838,10,10.52,4,1,68936,0.92,25-35,Mid-High,34.09075728946066,-117.9484397582952,0.7036423841059601,0,1,0,1,0,0,0,0,1,2
157,37,91742,6,10.43,7,1,71164,0.27,35-45,Mid-High,36.955546854331885,-118.02267363697955,0.6328398909232567,1,0,0,0,1,0,0,1,0,2
158,22,91696,4,7.91,2,0,55026,0.88,18-25,Low,41.68387990520499,-115.7039109877148,0.335216205687573,1,0,0,1,0,0,0,0,1,0
159,36,91200,1,12.25,3,0,48247,0.77,35-45,Low,41.10084922312218,-119.08851955304533,0.374366965329178,0,1,0,0,1,0,0,0,1,0
160,39,90352,8,11.89,6,0,67599,0.91,35-45,Mid-High,37.182670406739255,-122.78292627419759,0.7241916634203349,0,1,0,0,1,0,0,0,1,2
161,36,91624,5,15.47,5,0,51121,0.72,35-45,Low,34.01458451022041,-114.80168388504796,0.6827035449941565,1,0,0,0,1,0,0,0,1,2
162,64,94990,7,12.11,5,0,65328,0.96,55-65,Mid-Low,34.478756458881584,-117.65631584188515,0.6624464355278534,0,1,0,1,0,0,0,0,1,3
163,33,90089,3,16.99,1,0,59600,0.74,25-35,Mid-Low,36.986069385706344,-122.67619000318167,0.532333463186599,1,0,0,0,1,0,0,0,1,2
164,41,94903,5,8.61,2,0,75822,0.4,35-45,High,35.91084645181801,-116.9850445513633,0.39462407479548106,0,1,0,0,1,0,1,0,0,0
165,58,91213,3,13.59,5,0,49031,0.8,55-65,Low,40.13276072835006,-114.99060481168084,0.5498636540708999,0,1,0,1,0,0,1,0,0,1
166,21,95744,5,15.46,2,0,93374,0.42,18-25,High,35.16788998938482,-121.72530327716785,0.5947604207245811,1,0,0,1,0,0,0,0,1,2
167,32,91058,6,6.07,2,0,77412,0.44,25-35,High,32.81059539026262,-119.10029471742592,0.35936891312816516,0,1,0,0,1,0,0,0,1,0
168,42,95011,8,6.55,2,0,83834,0.72,35-45,High,32.02015409879732,-120.90099616598333,0.45130502532138683,1,0,0,1,0,0,0,0,1,3
169,61,94511,3,10.66,1,0,90578,0.8,55-65,High,32.1105691982135,-115.85952129180305,0.3473899493572263,0,1,0,0,1,0,0,0,1,3
170,52,94530,4,11.71,5,0,54682,0.85,45-55,Low,35.644821385971376,-116.39353421334384,0.5338917023763148,0,1,0,1,0,0,0,1,0,1
171,31,93845,6,16.03,2,0,52312,0.65,25-35,Low,37.38647322671822,-117.8747973713693,0.6503700818075575,0,0,1,1,0,0,0,0,1,2
172,36,96099,4,8.5,1,0,71171,0.68,35-45,Mid-High,34.04486553343281,-114.09881157427245,0.3232372419166342,0,1,0,0,1,0,0,0,1,0
173,55,92887,5,3.78,6,0,59836,0.63,45-55,Mid-Low,34.34276364198896,-118.61033176899245,0.3703739774055317,1,0,0,0,1,0,0,0,1,1
174,53,94833,11,10.84,5,0,64760,0.44,45-55,Mid-Low,32.30083777599482,-117.979848138469,0.7811647837943124,0,1,0,0,1,0,0,0,1,1
175,24,93627,2,10.17,4,0,71786,0.56,18-25,Mid-High,33.6739514523699,-123.83661856677129,0.38176860148032726,1,0,0,0,1,0,0,1,0,0
