user_id,age,gender,zip_code,device_type,sessions,avg_session_time,clicks_on_ads,converted
50,46,Male,90015,Mobile,3,6.58,2,0
51,36,Male,94782,Desktop,4,5.79,6,0
52,40,Female,91003,Desktop,3,5.48,2,0
53,36,Female,92408,Mobile,5,13.34,2,0
54,42,Male,93832,Mobile,7,7.41,1,0
55,33,Male,94440,Desktop,3,12.87,4,0
56,26,Female,93809,Mobile,7,11.3,3,0
57,18,Female,92260,Desktop,5,10.82,3,0
58,59,Female,91177,Tablet,3,8.34,4,0
59,36,Female,94406,Mobile,5,7.58,3,0
60,50,Male,94990,Mobile,4,7.62,3,0
61,51,Female,90080,Mobile,3,11.81,3,0
62,33,Male,90882,Mobile,4,10.94,3,0
63,61,Male,93168,Mobile,3,1.27,3,0
64,57,Female,94128,Tablet,8,14.06,3,0
65,35,Male,90605,Mobile,4,9.22,4,0
66,51,Other,95445,Mobile,2,10.36,2,0
67,42,Male,90169,Desktop,4,12.31,4,0
68,62,Female,95496,Mobile,6,6.47,1,0
69,23,Female,90539,Mobile,1,5.53,3,0
70,38,Male,91892,Mobile,5,7.38,3,0
71,23,Female,96140,Mobile,7,13.58,4,0
72,49,Male,90605,Desktop,3,10.04,5,0
73,58,Female,91177,Mobile,2,13.29,2,0
74,60,Male,90866,Mobile,5,2.6,1,1
75,56,Female,91984,Mobile,5,9.42,3,0
76,48,Male,91534,Desktop,9,6.41,4,1
77,59,Male,94756,Desktop,2,13.1,1,0
78,27,Male,93160,Mobile,6,8.69,3,0
79,47,Male,94996,Desktop,5,6.78,1,0
80,35,Female,93802,Mobile,3,8.98,2,0
81,41,Female,90623,Mobile,4,4.85,2,0
82,26,Female,90578,Desktop,5,10.08,5,0
83,48,Male,94437,Mobile,5,6.46,3,0
84,32,Female,92708,Mobile,7,6.59,4,0
85,21,Male,92088,Mobile,2,9.92,3,0
86,57,Female,92560,Mobile,6,3.49,2,0
87,26,Other,94225,Mobile,7,8.87,1,1
88,62,Male,90158,Mobile,8,8.27,0,0
89,26,Male,91187,Mobile,2,13.96,1,1
90,43,Male,91616,Mobile,9,12.05,2,1
91,21,Female,96159,Mobile,1,7.56,1,0
92,34,Female,92139,Mobile,9,7.37,4,0
93,33,Female,90507,Desktop,3,11.16,1,0
94,32,Male,91500,Mobile,3,9.95,1,1
95,52,Female,95974,Tablet,5,13.99,2,0
96,22,Female,92192,Desktop,6,10.64,2,0
97,22,Male,91695,Mobile,8,10.66,3,0
98,37,Female,94252,Mobile,6,12.03,2,0
99,32,Male,92433,Mobile,5,14.76,1,0
100,35,Male,94128,Mobile,6,10.35,2,0
101,64,Female,94385,Mobile,4,12.34,5,0
102,19,Male,91407,Mobile,3,9.87,2,0
103,46,Female,91894,Mobile,5,7.76,1,0
104,30,Female,95163,Desktop,6,12.02,3,0
105,21,Male,90168,Desktop,6,8.08,3,0
106,59,Female,95845,Mobile,7,6.43,5,0
107,62,Female,91700,Mobile,4,8.74,2,0
108,27,Male,90433,Mobile,5,11.73,2,0
109,48,Male,96159,Mobile,8,9.79,0,1
110,58,Male,94214,Desktop,2,13.93,3,0
111,25,Male,93160,Desktop,10,12.81,2,0
112,20,Male,95919,Mobile,6,17.1,3,0
113,63,Male,94214,Mobile,5,9.65,2,0
114,26,Male,93949,Mobile,5,11.87,4,0
115,47,Female,91865,Desktop,5,14.6,3,0
116,28,Male,91245,Mobile,1,5.54,7,1
117,52,Female,92096,Mobile,3,14.31,3,0
118,54,Female,95667,Desktop,8,5.26,5,0
119,59,Female,90748,Desktop,3,14.36,4,0
120,30,Male,91658,Desktop,5,11.15,3,0
121,53,Female,94754,Mobile,4,9.6,3,0
122,30,Female,94975,Mobile,2,6.87,2,1
123,29,Female,93786,Mobile,10,6.1,1,0
124,54,Male,95160,Desktop,3,9.02,4,0
125,27,Male,93353,Desktop,7,8.58,2,0
126,26,Female,91695,Desktop,10,7.84,0,0
127,24,Male,92858,Mobile,3,8.67,2,0
128,19,Male,95747,Desktop,2,12.42,2,0
129,40,Male,95450,Mobile,3,14.89,4,0
130,56,Female,94199,Mobile,5,8.81,2,0
131,57,Other,90102,Mobile,9,10.23,3,0
132,56,Male,92329,Mobile,3,6.79,3,0
133,38,Female,95297,Mobile,5,9.01,1,0
134,40,Female,94838,Desktop,4,8.02,3,0
135,46,Female,91050,Desktop,5,12.36,2,0
136,31,Female,93949,Mobile,7,7.3,2,0
137,43,Female,93685,Mobile,7,11.29,2,0
138,22,Female,95662,Mobile,4,7.22,1,0
139,48,Male,94895,Mobile,8,15.4,3,0
140,42,Female,90961,Mobile,7,12.32,3,0
141,48,Male,92264,Desktop,6,10.29,5,0
142,37,Male,91421,Mobile,9,13.16,0,0
143,61,Female,94575,Desktop,7,12.59,4,0
144,34,Female,93528,Desktop,3,11.88,2,0
145,62,Female,93526,Mobile,2,6.77,6,1
146,19,Male,94021,Mobile,5,13.49,1,0
147,42,Male,91048,Desktop,11,13.39,3,0
148,30,Female,94964,Mobile,1,8.65,1,0
149,56,Male,93164,Desktop,5,11.89,2,0
150,45,Female,93774,Desktop,7,3.82,2,0
151,59,Male,94903,Mobile,8,4.68,4,0
152,23,Male,90469,Tablet,3,9.88,5,0
153,20,Other,91790,Mobile,9,12.99,3,0
154,52,Male,91621,Desktop,7,11.24,1,0
155,35,Male,90085,Mobile,3,9.95,5,0
156,28,Male,91838,Desktop,10,10.52,4,1
157,37,Female,91742,Mobile,6,10.43,7,1
158,22,Female,91696,Desktop,4,7.91,2,0
159,36,Male,91200,Mobile,1,12.25,3,0
160,39,Male,90352,Mobile,8,11.89,6,0
161,36,Female,91624,Mobile,5,15.47,5,0
162,64,Male,94990,Desktop,7,12.11,5,0
163,33,Female,90089,Mobile,3,16.99,1,0
164,41,Male,94903,Mobile,5,8.61,2,0
165,58,Male,91213,Desktop,3,13.59,5,0
166,21,Female,95744,Desktop,5,15.46,2,0
167,32,Male,91058,Mobile,6,6.07,2,0
168,42,Female,95011,Desktop,8,6.55,2,0
169,61,Male,94511,Mobile,3,10.66,1,0
170,52,Male,94530,Desktop,4,11.71,5,0
171,31,Other,93845,Desktop,6,16.03,2,0
172,36,Male,96099,Mobile,4,8.5,1,0
173,55,Female,92887,Mobile,5,3.78,6,0
174,53,Male,94833,Mobile,11,10.84,5,0
175,24,Female,93627,Mobile,2,10.17,4,0
176,47,Female,90811,Desktop,11,11.4,2,0
177,36,Male,94591,Mobile,7,7.38,2,0
178,42,Female,90222,Desktop,7,4.64,2,0
179,33,Female,91859,Mobile,6,15.38,2,1
180,64,Male,94085,Tablet,5,11.96,5,0
181,57,Female,90015,Desktop,5,15.41,4,0
182,25,Female,93576,Desktop,4,6.28,4,0
183,35,Male,91109,Mobile,5,10.47,2,0
184,45,Male,90297,Mobile,3,12.48,6,0
185,33,Male,91859,Mobile,3,13.13,3,0
186,36,Male,91790,Mobile,4,14.32,4,0
187,59,Female,91074,Mobile,5,7.21,3,0
188,34,Female,92555,Desktop,3,9.81,2,0
189,62,Female,92088,Mobile,7,12.25,4,0
190,30,Male,93862,Mobile,3,10.59,3,1
191,24,Male,92329,Mobile,8,3.62,4,0
192,44,Female,93899,Mobile,8,11.91,3,0
193,27,Female,93561,Mobile,6,11.35,4,0
194,51,Female,90200,Desktop,7,8.59,3,0
195,53,Male,94403,Mobile,7,10.6,3,0
196,42,Male,95985,Desktop,6,3.79,6,0
197,23,Male,95097,Mobile,5,15.13,5,0
198,41,Other,92883,Desktop,8,10.19,4,0
199,35,Male,90066,Mobile,4,7.8,2,0
200,40,Female,95607,Desktop,5,15.31,8,0
201,23,Female,94990,Mobile,4,5.12,2,0
202,46,Male,94526,Mobile,6,8.43,1,0
203,42,Female,92433,Mobile,4,13.82,7,0
204,34,Female,92519,Desktop,1,7.12,4,0
205,63,Female,92228,Desktop,6,8.14,4,0
206,41,Male,93438,Mobile,7,10.26,2,0
207,28,Male,92192,Mobile,7,11.84,3,0
208,43,Male,93510,Mobile,8,10.03,4,0
209,51,Male,90692,Mobile,6,10.9,4,0
210,45,Female,94756,Mobile,8,10.33,3,0
211,20,Female,91534,Mobile,10,9.89,4,1
212,28,Male,94877,Desktop,1,9.66,3,0
213,55,Female,94506,Tablet,4,9.64,1,0
214,31,Female,93212,Mobile,5,9.34,4,0
215,43,Male,95338,Mobile,6,4.08,3,0
216,38,Male,91861,Mobile,5,15.58,7,0
217,56,Female,90309,Mobile,8,6.38,5,0
218,47,Female,92733,Mobile,4,8.29,3,0
219,25,Female,95338,Mobile,3,13.61,2,0
220,37,Male,95974,Tablet,4,15.69,7,0
221,49,Male,95934,Desktop,6,13.31,1,0
222,39,Male,92519,Mobile,2,11.84,1,0
223,24,Female,94838,Mobile,5,10.99,1,0
224,26,Female,95769,Desktop,6,9.05,3,0
225,62,Male,91615,Desktop,2,11.91,2,1
226,18,Female,94021,Mobile,9,13.32,2,0
227,46,Female,93930,Desktop,3,13.09,5,0
228,25,Female,94603,Mobile,4,13.33,1,0
229,21,Other,94072,Mobile,7,8.47,2,0
230,52,Male,90692,Mobile,3,10.1,3,0
231,20,Female,92866,Desktop,2,4.45,2,0
232,62,Male,93911,Mobile,4,13.99,3,0
233,57,Male,90297,Mobile,3,9.77,2,0
234,24,Female,90200,Desktop,4,4.69,5,0
235,44,Female,90051,Desktop,5,10.77,7,1
236,18,Female,93493,Desktop,4,13.4,3,0
237,44,Female,95674,Mobile,7,9.76,0,0
238,33,Female,91889,Tablet,6,11.43,2,0
239,55,Female,92340,Mobile,3,8.47,5,0
240,24,Male,90433,Mobile,10,7.26,4,1
241,61,Female,90882,Mobile,2,11.3,6,1
242,40,Female,90066,Mobile,5,7.49,7,0
243,58,Male,94081,Mobile,2,10.2,2,0
244,28,Male,90169,Desktop,3,6.29,4,0
245,59,Female,94895,Mobile,3,9.64,1,0
246,50,Female,92400,Mobile,3,12.33,3,1
247,53,Female,90015,Mobile,5,6.09,4,0
248,54,Female,90995,Mobile,4,8.72,4,0
249,58,Male,91838,Mobile,4,7.56,2,0
250,34,Female,92265,Tablet,3,13.17,5,0
251,52,Female,95769,Desktop,3,10.02,4,0
252,22,Female,93822,Tablet,3,9.78,4,0
253,49,Female,90020,Mobile,9,9.44,5,0
254,20,Female,92909,Mobile,2,8.15,4,0
255,64,Female,91316,Mobile,5,5.18,4,0
256,52,Female,94088,Desktop,4,9.07,3,0
257,31,Male,91917,Mobile,2,12.79,1,0
258,48,Female,93911,Mobile,2,8.34,6,0
259,48,Male,95808,Mobile,7,11.69,3,1
260,34,Male,93808,Mobile,9,5.64,2,0
261,41,Female,93935,Mobile,7,14.25,3,0
262,40,Male,91979,Mobile,2,14.96,3,0
263,35,Female,92822,Desktop,3,11.63,5,0
264,31,Male,93822,Tablet,4,10.34,6,1
265,32,Male,92440,Mobile,7,7.31,4,0
266,32,Female,91043,Mobile,7,3.96,3,1
267,23,Male,95375,Desktop,5,11.53,2,0
268,44,Female,91790,Mobile,2,13.46,4,0
269,32,Male,95962,Mobile,5,9.46,1,0
270,53,Male,95088,Desktop,5,10.63,2,0
271,25,Male,93297,Mobile,5,7.06,1,0
272,32,Male,94903,Mobile,5,11.18,4,1
273,20,Female,93801,Mobile,8,13.05,3,0
274,64,Male,92586,Mobile,3,11.72,9,0
275,30,Female,90997,Mobile,5,7.41,1,0
276,58,Female,92405,Mobile,2,8.45,3,1
277,51,Female,90577,Mobile,6,12.08,4,0
278,41,Female,94756,Mobile,4,8.24,2,0
279,57,Male,90706,Mobile,11,15.36,0,1
280,49,Male,93438,Mobile,8,16.92,1,0
281,49,Female,95973,Mobile,4,9.18,1,0
282,47,Female,91221,Mobile,4,18.16,3,0
283,30,Female,93333,Mobile,5,10.07,2,0
284,18,Female,91893,Mobile,5,13.39,2,0
285,51,Male,90811,Mobile,4,10.87,5,0
286,32,Male,95410,Mobile,8,10.17,4,0
287,61,Female,93774,Mobile,7,5.98,3,0
288,31,Female,92100,Mobile,7,9.43,5,0
289,46,Male,91058,Desktop,2,15.28,1,0
290,51,Female,91635,Mobile,6,11.63,3,0
291,35,Male,95364,Mobile,7,10.14,3,1
292,24,Male,90264,Mobile,3,9.9,3,0
293,46,Female,91761,Desktop,5,11.83,2,0
294,48,Female,95338,Mobile,3,10.06,2,0
295,42,Female,95100,Mobile,5,11.43,4,0
296,55,Male,95811,Mobile,5,9.63,4,0
297,31,Male,93056,Mobile,6,9.38,3,0
298,25,Female,91618,Desktop,2,6.96,6,0
299,44,Male,90536,Desktop,9,15.36,2,0
300,19,Female,90264,Mobile,9,6.92,3,0
301,34,Female,94404,Mobile,4,10.9,4,0
302,54,Female,92345,Desktop,4,8.64,6,0
303,31,Male,94404,Mobile,2,8.39,3,0
304,42,Female,95026,Mobile,3,8.73,1,0
305,47,Male,93297,Desktop,10,8.16,3,0
306,46,Male,93353,Mobile,9,11.0,3,0
307,37,Male,91057,Tablet,8,12.46,6,0
308,38,Male,92182,Mobile,6,12.03,1,0
309,39,Female,90169,Mobile,3,4.6,3,0
310,52,Male,92585,Mobile,6,13.09,5,0
311,54,Male,92586,Desktop,8,12.08,0,0
312,33,Other,95870,Mobile,5,8.22,4,0
313,60,Male,95644,Mobile,5,12.12,3,0
314,34,Female,90222,Tablet,2,13.1,3,0
315,33,Male,94990,Mobile,3,9.08,2,0
316,19,Male,95425,Mobile,8,7.94,0,0
317,21,Female,90477,Mobile,11,14.83,5,0
318,38,Male,91672,Mobile,4,15.47,2,0
319,56,Female,94530,Mobile,5,12.52,8,1
320,51,Male,92619,Mobile,4,13.73,1,0
321,47,Male,95485,Desktop,3,10.46,2,0
322,23,Male,91729,Mobile,3,13.21,6,0
323,34,Male,95224,Desktop,5,3.52,5,0
324,56,Male,95550,Mobile,4,12.13,4,0
325,42,Female,96084,Tablet,5,12.07,3,0
326,22,Female,93460,Mobile,5,12.07,3,0
327,22,Male,90433,Mobile,2,11.37,3,0
328,37,Male,91407,Mobile,1,11.39,1,0
329,33,Female,94021,Mobile,1,8.41,0,0
330,58,Female,90866,Mobile,1,16.1,2,0
331,54,Female,93170,Mobile,4,14.94,3,0
332,57,Female,93510,Mobile,7,17.12,6,0
333,26,Male,93801,Mobile,2,8.34,3,0
334,22,Male,92821,Mobile,2,12.3,3,0
335,59,Female,92264,Desktop,7,12.55,3,0
336,19,Female,91093,Desktop,1,3.9,4,0
337,26,Female,90970,Mobile,6,9.98,4,0
338,60,Male,90264,Mobile,7,11.04,2,0
339,53,Other,95375,Mobile,3,11.11,3,0
340,39,Female,92663,Desktop,5,7.61,1,0
341,39,Male,92340,Desktop,7,13.18,3,0
342,39,Female,93627,Mobile,6,11.07,6,0
343,51,Male,90545,Mobile,11,8.68,6,0
344,46,Male,94946,Mobile,4,11.94,1,0
345,55,Male,94327,Mobile,9,7.24,1,0
346,63,Male,91515,Mobile,9,11.17,5,0
347,50,Male,90222,Mobile,7,9.76,2,1
348,35,Female,92405,Mobile,5,10.12,2,0
349,24,Male,94728,Mobile,3,8.03,2,0
350,18,Female,96013,Desktop,4,6.77,1,0
351,50,Male,94072,Mobile,6,6.57,1,1
352,18,Male,96140,Mobile,4,6.31,1,0
353,41,Female,90157,Mobile,4,10.33,2,0
354,21,Female,94658,Mobile,7,11.28,8,0
355,21,Female,93845,Desktop,2,11.14,7,0
356,35,Other,90577,Mobile,2,7.93,2,0
357,44,Male,95094,Mobile,5,6.41,5,0
358,60,Male,91615,Mobile,5,11.34,6,0
359,49,Female,91790,Mobile,3,11.23,1,0
360,50,Other,94591,Desktop,4,13.31,2,0
361,45,Female,95973,Mobile,6,6.5,3,0
362,59,Female,95196,Mobile,4,9.52,2,0
363,58,Female,92058,Mobile,1,11.36,5,0
364,53,Male,95808,Mobile,2,5.52,1,0
365,23,Female,91182,Mobile,3,9.53,6,0
366,33,Female,95558,Mobile,9,4.89,6,0
367,51,Female,94002,Mobile,3,8.43,3,0
368,40,Male,91761,Desktop,5,14.16,4,0
369,59,Male,91673,Mobile,3,16.1,4,0
370,41,Male,94964,Mobile,2,10.43,8,0
371,30,Male,92583,Mobile,5,11.08,2,1
372,35,Female,94366,Mobile,6,10.14,3,0
373,30,Male,93561,Mobile,4,12.78,2,0
374,54,Male,90260,Mobile,9,12.57,3,0
375,60,Male,93461,Mobile,10,5.5,4,0
376,56,Female,91615,Tablet,5,11.71,3,0
377,59,Female,91579,Mobile,5,6.38,4,0
378,34,Male,91984,Desktop,3,13.51,0,0
379,32,Male,93802,Desktop,6,13.4,3,0
380,35,Male,95966,Tablet,6,5.25,2,0
381,40,Female,94378,Mobile,3,13.03,2,0
382,47,Male,93576,Desktop,5,6.71,0,0
383,51,Female,95555,Tablet,7,9.49,5,0
384,21,Male,94351,Mobile,6,6.23,0,0
385,20,Male,93911,Mobile,7,11.52,2,0
386,24,Female,90806,Mobile,3,14.72,6,1
387,35,Male,92651,Mobile,7,9.44,2,0
388,59,Female,94603,Mobile,5,8.39,2,0
389,24,Male,93130,Mobile,8,9.89,4,1
390,57,Female,90222,Desktop,8,14.37,5,0
391,23,Female,94946,Mobile,7,13.01,2,0
392,39,Female,92821,Desktop,6,14.17,3,0
393,18,Male,94903,Mobile,6,9.9,3,0
394,21,Male,93212,Mobile,6,3.53,2,0
395,63,Male,96159,Mobile,12,4.63,3,0
396,60,Female,94437,Mobile,5,9.43,3,0
397,46,Female,91672,Desktop,7,5.78,4,0
398,38,Male,93868,Mobile,4,12.14,1,0
399,43,Male,95870,Mobile,6,9.31,3,0
400,31,Female,94077,Desktop,6,4.53,4,0
401,26,Male,93808,Mobile,6,11.02,3,0
402,64,Male,95934,Desktop,2,7.76,2,0
403,29,Male,91162,Mobile,4,9.38,5,0
404,59,Female,91045,Mobile,4,13.12,3,1
405,23,Female,95555,Mobile,2,13.8,1,0
406,37,Other,90102,Tablet,6,13.87,6,0
407,41,Male,95674,Mobile,6,12.09,2,0
408,44,Female,92437,Desktop,2,15.36,5,0
409,55,Female,91903,Tablet,5,9.09,2,0
410,25,Male,91050,Mobile,4,9.47,4,0
411,18,Female,90961,Mobile,4,7.97,4,0
412,41,Male,93667,Desktop,5,10.22,3,0
413,64,Male,90578,Mobile,8,10.0,3,1
414,24,Male,93313,Mobile,5,10.52,3,0
415,36,Male,94351,Mobile,5,9.91,6,0
416,39,Female,91600,Desktop,6,12.81,1,0
417,52,Male,93719,Desktop,4,10.22,8,0
418,47,Male,95673,Mobile,8,9.77,2,1
419,46,Male,93809,Mobile,4,11.21,5,0
420,39,Female,90788,Desktop,3,6.25,4,0
421,28,Female,91721,Mobile,9,6.41,5,0
422,37,Female,95485,Desktop,6,9.31,2,0
423,46,Female,95485,Mobile,1,11.85,3,0
424,58,Male,93937,Desktop,6,10.13,6,0
425,59,Male,93967,Desktop,6,9.13,5,0
426,51,Female,92274,Mobile,2,10.46,4,0
427,18,Male,90038,Mobile,6,13.5,2,0
428,48,Male,92535,Mobile,6,6.72,1,0
429,47,Female,92314,Mobile,3,10.36,0,0
430,35,Male,92211,Mobile,5,6.61,2,0
431,34,Male,95775,Mobile,3,7.41,1,1
432,55,Male,92274,Mobile,9,10.29,3,0
433,31,Male,96114,Mobile,6,12.52,3,0
434,40,Female,93719,Desktop,5,10.67,3,0
435,42,Female,93342,Mobile,9,11.97,2,0
436,32,Female,95693,Mobile,6,10.72,3,0
437,63,Female,95429,Mobile,5,14.21,5,0
438,39,Male,91102,Desktop,5,11.9,4,0
439,20,Male,91917,Mobile,4,9.73,6,1
440,36,Male,93967,Mobile,3,12.91,0,0
441,61,Male,93862,Mobile,5,10.19,3,0
442,51,Other,94975,Desktop,3,11.81,2,0
443,52,Female,90032,Desktop,7,12.88,6,0
444,18,Male,90024,Mobile,5,14.71,1,0
445,38,Male,91515,Mobile,4,15.34,3,1
446,46,Male,95558,Mobile,8,15.83,1,0
447,23,Male,91889,Desktop,3,13.05,2,0
448,54,Male,94378,Mobile,4,9.79,1,0
449,18,Female,90627,Mobile,3,11.1,5,0
450,18,Female,94049,Mobile,7,8.07,4,0
451,44,Female,91616,Desktop,3,8.7,1,0
452,38,Male,90032,Mobile,9,10.53,1,0
453,33,Male,96013,Mobile,3,11.98,1,0
454,61,Female,94128,Mobile,3,8.05,6,0
455,57,Female,95870,Mobile,3,11.29,0,0
456,43,Female,90326,Mobile,3,5.58,2,0
457,33,Female,96099,Mobile,6,9.13,6,1
458,45,Female,91616,Mobile,8,12.45,0,0
459,18,Female,91045,Mobile,0,9.71,2,0
460,53,Male,91329,Mobile,3,14.19,2,0
461,27,Female,91972,Mobile,7,12.07,5,0
462,60,Male,92961,Mobile,3,4.47,5,0
463,34,Male,95104,Mobile,7,11.01,1,0
464,40,Female,95643,Mobile,2,10.07,1,0
465,24,Male,94561,Mobile,6,13.83,3,1
466,61,Male,91616,Mobile,4,6.12,3,0
467,24,Male,93868,Mobile,5,12.95,5,0
468,61,Male,91555,Mobile,3,14.43,2,0
469,32,Male,91840,Desktop,6,14.5,3,0
470,51,Male,91672,Mobile,6,9.67,5,0
471,63,Male,92651,Mobile,7,12.77,3,1
472,62,Male,92100,Mobile,3,11.2,6,0
473,21,Other,95160,Mobile,2,15.63,1,0
474,31,Male,90320,Mobile,8,12.65,3,1
475,31,Male,91043,Desktop,2,10.63,6,0
476,33,Female,94794,Mobile,8,10.79,4,0
477,24,Female,90133,Mobile,4,6.92,2,0
478,49,Female,90927,Desktop,7,8.45,2,0
479,36,Male,91696,Mobile,4,9.93,0,1
480,19,Female,92952,Mobile,7,12.28,2,0
481,27,Female,95297,Mobile,3,5.72,3,0
482,34,Female,90623,Mobile,5,11.3,0,0
483,54,Female,92717,Mobile,6,7.87,4,0
484,29,Female,91245,Mobile,8,5.92,4,0
485,23,Female,94794,Mobile,7,7.24,1,0
486,39,Female,94087,Desktop,5,10.38,3,0
487,49,Male,92938,Desktop,9,11.25,3,0
488,58,Female,95029,Desktop,6,11.26,3,0
489,37,Female,95659,Desktop,9,9.31,4,0
490,18,Male,93130,Mobile,6,9.12,0,1
491,64,Other,90748,Mobile,9,10.51,2,1
492,23,Male,90713,Mobile,5,5.04,5,0
493,36,Male,90326,Desktop,8,10.48,4,0
494,35,Female,95088,Mobile,4,11.28,3,0
495,23,Male,94603,Mobile,5,6.51,2,0
496,62,Male,95082,Desktop,0,13.03,1,0
497,50,Male,94728,Desktop,2,6.24,2,0
498,40,Male,94081,Desktop,2,11.62,4,1
499,40,Male,92952,Mobile,2,7.07,2,0
500,43,Male,94561,Mobile,2,12.33,3,0
501,30,Male,94975,Mobile,2,10.05,3,0
502,24,Other,93115,Mobile,2,9.01,3,0
503,32,Other,95607,Mobile,11,12.77,3,0
504,61,Male,92555,Mobile,6,5.66,7,1
505,44,Female,91043,Mobile,3,12.25,2,0
506,43,Male,94320,Mobile,3,11.76,4,0
507,50,Male,94049,Desktop,5,10.12,5,0
508,32,Male,95674,Desktop,5,11.05,5,0
509,53,Other,92909,Mobile,2,5.09,4,1
510,62,Female,95082,Mobile,5,9.66,3,0
511,44,Male,94021,Mobile,7,9.65,5,0
512,22,Male,94986,Mobile,6,15.02,3,0
513,19,Male,90158,Desktop,3,7.82,3,0
514,50,Female,93804,Desktop,6,4.44,3,0
515,33,Female,94946,Desktop,1,10.54,3,0
516,40,Male,90168,Mobile,11,9.85,2,0
517,55,Female,90032,Desktop,4,8.67,5,0
518,33,Male,94085,Mobile,5,5.73,2,0
519,31,Female,93561,Mobile,4,7.3,2,1
520,46,Female,91074,Mobile,1,8.41,3,0
521,43,Male,95113,Desktop,5,9.7,4,0
522,52,Female,90605,Mobile,6,4.28,3,0
523,32,Female,95426,Mobile,7,14.07,5,0
524,20,Male,91093,Mobile,6,14.58,1,0
525,40,Male,95113,Mobile,8,6.78,4,0
526,46,Female,95011,Mobile,4,5.94,5,0
527,51,Male,92802,Mobile,11,7.01,7,0
528,50,Male,90600,Mobile,7,11.97,5,0
529,58,Male,90605,Mobile,8,9.53,2,0
530,58,Female,91621,Mobile,6,9.67,5,0
531,40,Female,91245,Mobile,7,15.24,1,0
532,24,Female,91109,Mobile,2,10.77,1,1
533,20,Female,94964,Desktop,6,13.18,3,0
534,49,Male,93850,Mobile,3,12.59,4,0
535,48,Female,94990,Mobile,6,10.94,1,0
536,35,Female,90466,Mobile,6,6.42,4,0
537,60,Male,92651,Mobile,3,10.11,2,0
538,24,Male,94986,Tablet,9,8.33,4,0
539,58,Male,95962,Mobile,3,11.13,3,0
540,18,Female,94128,Mobile,6,12.97,1,0
541,31,Female,94679,Mobile,5,6.75,2,0
542,49,Female,91177,Mobile,2,9.95,2,1
543,23,Other,92088,Mobile,6,13.2,5,1
544,56,Male,93996,Desktop,6,14.97,1,0
545,27,Female,92096,Desktop,4,5.32,2,0
546,24,Female,90697,Mobile,8,9.27,0,0
547,43,Male,90470,Mobile,2,10.91,1,0
548,51,Other,92411,Desktop,6,10.03,3,0
549,47,Male,94007,Mobile,7,8.13,2,0
550,53,Female,90492,Mobile,4,4.82,6,0
551,38,Female,93170,Mobile,4,9.57,3,0
552,34,Female,96114,Mobile,7,6.12,6,0
553,50,Female,90894,Desktop,5,9.57,2,0
554,27,Male,91700,Desktop,1,12.76,5,0
555,64,Female,95429,Tablet,3,13.26,3,0
556,59,Male,94986,Mobile,5,11.49,3,0
